TL,TM,TR,CL,CM,CR,BL,BM,BR,probe,corr,Load
*,*,*,*,F,*,*,*,*,f,1,1
*,*,*,*,X,*,*,*,*,x,1,1
*,*,*,*,M,*,*,*,*,s,2,1
*,*,*,*,N,*,*,*,*,c,2,1
*,*,*,*,D,*,*,*,*,s,2,1
*,*,*,*,J,*,*,*,*,j,1,1
*,*,*,V,*,D,*,*,*,s,2,2
*,*,*,L,*,T,*,*,*,c,2,2
*,*,*,B,*,X,*,*,*,r,2,2
*,*,*,Q,*,H,*,*,*,h,1,2
*,*,*,Z,*,K,*,*,*,k,1,2
*,*,*,S,*,N,*,*,*,n,1,2
*,*,*,J,K,G,*,*,*,g,1,3
*,*,*,L,V,C,*,*,*,c,1,3
*,*,*,B,D,M,*,*,*,m,1,3
*,*,*,F,C,H,*,*,*,l,2,3
*,*,*,J,P,M,*,*,*,t,2,3
*,*,*,R,H,N,*,*,*,s,2,3
M,*,T,*,*,*,P,*,Y,x,2,4
Q,*,R,*,*,*,J,*,S,q,1,4
K,*,F,*,*,*,N,*,V,x,2,4
M,*,H,*,*,*,D,*,L,d,1,4
Y,*,X,*,*,*,R,*,V,s,2,4
M,*,G,*,*,*,Z,*,B,g,1,4
M,*,L,*,Y,*,Z,*,J,j,1,5
K,*,Q,*,C,*,T,*,H,h,1,5
S,*,R,*,M,*,P,*,N,z,2,5
L,*,C,*,Q,*,F,*,H,j,2,5
P,*,K,*,R,*,N,*,V,v,1,5
J,*,Y,*,Q,*,X,*,L,b,2,5
V,S,R,*,*,*,K,P,Y,f,2,6
Q,H,D,*,*,*,G,N,M,q,1,6
C,X,S,*,*,*,L,K,P,x,1,6
D,B,Y,*,*,*,M,J,N,g,2,6
H,R,T,*,*,*,Z,K,L,z,1,6
B,Q,C,*,*,*,M,G,Y,s,2,6
Z,V,X,*,C,*,Y,M,H,d,2,7
Q,N,B,*,K,*,L,J,F,k,1,7
S,M,C,*,R,*,H,X,Y,y,1,7
D,L,J,*,P,*,N,B,G,d,1,7
X,S,R,*,Z,*,K,H,F,t,2,7
C,G,D,*,P,*,J,Q,Y,b,2,7
V,H,J,Q,*,C,P,Y,M,n,2,8
V,G,R,K,*,N,Z,X,B,r,1,8
C,J,L,Q,*,M,T,G,F,y,2,8
X,B,V,D,*,N,Z,K,L,d,1,8
C,H,F,L,*,Y,J,M,G,r,2,8
X,K,D,B,*,T,M,Z,N,k,1,8
C,T,M,S,Q,V,L,F,X,z,2,9
G,B,Y,J,R,V,Z,P,H,y,1,9
N,H,T,B,X,F,M,Q,S,s,1,9
D,V,Q,L,P,J,R,Z,T,z,1,9
B,C,Q,K,F,X,H,R,N,m,2,9
R,L,S,Z,Q,Y,G,V,P,t,2,9